Index,Vocab-expression,Vocab-kana,Vocab-meaning,Sentence-expression,Sentence-kana,Sentence-meaning,Vocab-furigana,Sentence-furigana,Sentence-Cloze
4867,傾く,かたむく,"decline, go down",お日様が西に<b>傾きました</b>ね。,おひさま が にし に <b>かたむきました</b> ね,The sun went down in the west.,傾[かたむ]く,お 日様[ひさま]が 西[にし]に<b> 傾[かたむ]きました</b>ね。,お 日様[ひさま]が 西[にし]に<b>（　）</b>ね。
4868,傾ける,かたむける,"lean, cock (one's head)",彼女は首を少し<b>傾けて</b>笑うの。,かのじょ は くび を すこし <b>かたむけて</b> わらう の,She cocks her head slightly to the side when she smiles.,傾[かたむ]ける,彼女[かのじょ]は 首[くび]を 少[すこ]し<b> 傾[かたむ]けて</b> 笑[わら]うの。,彼女[かのじょ]は 首[くび]を 少[すこ]し<b>（　）</b> 笑[わら]うの。
4869,坂,さか,"slope, incline",この<b>坂</b>を上るのはすごくきついね。,この <b>さか</b> を のぼる の は すごく きつい ね,Going up this slope is very hard.,坂[さか],この<b> 坂[さか]</b>を 上[のぼ]るのはすごくきついね。,この<b>（　）</b>を 上[のぼ]るのはすごくきついね。
4870,緩やか,ゆるやか,"slack, loose",ここから先は<b>緩やか</b>な坂になっています。,ここ から さき は <b>ゆるやか</b> な さか に なって います,There's a gentle slope ahead.,緩[ゆる]やか,ここから 先[さき]は<b> 緩[ゆる]やか</b>な 坂[さか]になっています。,ここから 先[さき]は<b>（　）</b>な 坂[さか]になっています。
4871,チェンジ,チェンジ,"change, exchange",坂道でギアーを<b>チェンジ</b>したよ。,さかみち で ぎあー を <b>ちぇんじ</b> した よ,I changed gear as the road sloped.,チェンジ,坂道[さかみち]でギアーを<b>チェンジ</b>したよ。,坂道[さかみち]でギアーを<b>（　）</b>したよ。
4872,狭まる,せばまる,"become narrow, contract",ここから道の幅が<b>狭まっています</b>。,ここ から みち の はば が <b>せばまって います</b>,The road narrows from here.,狭[せば]まる,ここから 道[みち]の 幅[はば]が<b> 狭[せば]まっています</b>。,ここから 道[みち]の 幅[はば]が<b>（　）</b>。
4873,狭める,せばめる,"narrow, contract",もっと範囲を<b>狭めて</b>探しましょう,もっと はんい を <b>せばめて</b> さがしましょう,Let's narrow the range and search.,狭[せば]める,もっと 範囲[はんい]を<b> 狭[せば]めて</b> 探[さが]しましょう,もっと 範囲[はんい]を<b>（　）</b> 探[さが]しましょう
4874,空間,くうかん,"space, room",狭い<b>空間</b>に物がたくさん置いてあるね。,せまい <b>くうかん</b> に もの が たくさん おいて ある ね,A lot of things have been put into a tight space.,空間[くうかん],狭[せま]い<b> 空間[くうかん]</b>に 物[もの]がたくさん 置[お]いてあるね。,狭[せま]い<b>（　）</b>に 物[もの]がたくさん 置[お]いてあるね。
4875,幅,はば,"width, breadth",この道は<b>幅</b>が狭いので気をつけて運転してください。,この みち は <b>はば</b> が せまい の で き を つけて うんてん して ください,This road is narrow so please drive carefully.,幅[はば],この 道[みち]は<b> 幅[はば]</b>が 狭[せま]いので 気[き]をつけて 運転[うんてん]してください。,この 道[みち]は<b>（　）</b>が 狭[せま]いので 気[き]をつけて 運転[うんてん]してください。
4876,徐行,じょこう,slow speed,この先は<b>徐行</b>して下さい。,この さき は <b>じょこう</b> して ください,Please go slowly ahead.,徐行[じょこう],この 先[さき]は<b> 徐行[じょこう]</b>して 下[くだ]さい。,この 先[さき]は<b>（　）</b>して 下[くだ]さい。
4877,血管,けっかん,blood vessel,年をとると<b>血管</b>が硬くなります。,とし を とる と <b>けっかん</b> が かたく なります,The blood vessels harden with age.,血管[けっかん],年[とし]をとると<b> 血管[けっかん]</b>が 硬[かた]くなります。,年[とし]をとると<b>（　）</b>が 硬[かた]くなります。
4878,硬さ,かたさ,hardness,理科の時間に石の<b>硬さ</b>を比べたよ。,りか の じかん に いし の <b>かたさ</b> を くらべた よ,In science class we compared the hardness of stones.,硬[かた]さ,理科[りか]の 時間[じかん]に 石[いし]の<b> 硬[かた]さ</b>を 比[くら]べたよ。,理科[りか]の 時間[じかん]に 石[いし]の<b>（　）</b>を 比[くら]べたよ。
4879,自然に,しぜんに,"naturally, instinctively",硬くならないで、<b>自然に</b>話して下さい。,かたく ならない で <b>しぜんに</b> はなして ください,Please speak naturally without being formal.,自然[しぜん]に,硬[かた]くならないで、<b> 自然[しぜん]に</b> 話[はな]して 下[くだ]さい。,硬[かた]くならないで、<b>（　）</b> 話[はな]して 下[くだ]さい。
4880,柔軟,じゅうなん,"pliable, flexible",彼は<b>柔軟</b>に対応をした。,かれ は <b>じゅうなん</b> に たいおう を した,He gave a flexible response.,柔軟[じゅうなん],彼[かれ]は<b> 柔軟[じゅうなん]</b>に 対応[たいおう]をした。,彼[かれ]は<b>（　）</b>に 対応[たいおう]をした。
4881,傷める,いためる,"damage, spoil",彼は柔道で腰を<b>傷めた</b>んだ。,かれ は じゅうどう で こし を <b>いためた</b> ん だ,He hurt his lower back doing judo.,傷[いた]める,彼[かれ]は 柔道[じゅうどう]で 腰[こし]を<b> 傷[いた]めた</b>んだ。,彼[かれ]は 柔道[じゅうどう]で 腰[こし]を<b>（　）</b>んだ。
4882,柔らかい,やわらかい,"soft, gentle",<b>柔らかい</b>日差しが気持ちいいね。,<b>やわらかい</b> ひざし が きもち いい ね,Soft sunlight feels pleasant.,柔[やわ]らかい,<b> 柔[やわ]らかい</b> 日差[ひざ]しが 気持[きも]ちいいね。,<b>（　）</b> 日差[ひざ]しが 気持[きも]ちいいね。
4883,緊急,きんきゅう,"urgent, pressing",<b>緊急</b>事態が発生した。,<b>きんきゅう</b> じたい が はっせい した,An emergency situation arose.,緊急[きんきゅう],<b> 緊急[きんきゅう]</b> 事態[じたい]が 発生[はっせい]した。,<b>（　）</b> 事態[じたい]が 発生[はっせい]した。
4884,緊張,きんちょう,"tension, strain",彼は<b>緊張</b>していたな。,かれ は <b>きんちょう</b> して いた な,He felt nervous.,緊張[きんちょう],彼[かれ]は<b> 緊張[きんちょう]</b>していたな。,彼[かれ]は<b>（　）</b>していたな。
4885,しばしば,しばしば,"often, frequently",課長は<b>しばしば</b>出張します。,かちょう は <b>しばしば</b> しゅっちょう します,The section chief often goes on business trips.,しばしば,課長[かちょう]は<b>しばしば</b> 出張[しゅっちょう]します。,課長[かちょう]は<b>（　）</b> 出張[しゅっちょう]します。
4886,出張,しゅっちょう,business trip,部長は京都に<b>出張</b>中です。,ぶちょう は きょうと に <b>しゅっちょう</b>ちゅう です,The manager is on a business trip to Kyoto.,出張[しゅっちょう],部長[ぶちょう]は 京都[きょうと]に<b> 出張[しゅっちょう]</b> 中[ちゅう]です。,部長[ぶちょう]は 京都[きょうと]に<b>（　）</b> 中[ちゅう]です。
4887,命じる,めいじる,"order, give orders",急に出張を<b>命じられました</b>。,きゅう に しゅっちょう を <b>めいじられました</b>,I was suddenly sent on a business trip.,命[めい]じる,急[きゅう]に 出張[しゅっちょう]を<b> 命[めい]じられました</b>。,急[きゅう]に 出張[しゅっちょう]を<b>（　）</b>。
4888,人前,ひとまえ,in front of other people,彼女は<b>人前</b>に出ると緊張します。,かのじょ は <b>ひとまえ</b> に でる と きんちょう します,She feels nervous in front of other people.,人前[ひとまえ],彼女[かのじょ]は<b> 人前[ひとまえ]</b>に 出[で]ると 緊張[きんちょう]します。,彼女[かのじょ]は<b>（　）</b>に 出[で]ると 緊張[きんちょう]します。
4889,張り切る,はりきる,"go all out, make efforts",母は<b>張り切って</b>お弁当を用意したの。,はは は <b>はりきって</b> おべんとう を ようい した の,My mother went all out when she made this lunch box.,張[は]り 切[き]る,母[はは]は<b> 張[は]り 切[き]って</b>お 弁当[べんとう]を 用意[ようい]したの。,母[はは]は<b>（　）</b>お 弁当[べんとう]を 用意[ようい]したの。
4890,欲張り,よくばり,"greed, greedy",彼女は<b>欲張り</b>です。,かのじょ は <b>よくばり</b> です,She's greedy.,欲張[よくば]り,彼女[かのじょ]は<b> 欲張[よくば]り</b>です。,彼女[かのじょ]は<b>（　）</b>です。
4891,衝突,しょうとつ,"collision, conflict",そこの角で車同士が<b>衝突</b>したのよ。,そこ の かど で くるま どうし が <b>しょうとつ</b> した の よ,The cars collided into each other at the corner there.,衝突[しょうとつ],そこの 角[かど]で 車同士[くるま どうし]が<b> 衝突[しょうとつ]</b>したのよ。,そこの 角[かど]で 車同士[くるま どうし]が<b>（　）</b>したのよ。
4892,失業,しつぎょう,"unemployment, loss of job",友達のお父さんが突然<b>失業</b>したの。,ともだち の おとうさん が とつぜん <b>しつぎょう</b> した の,My friend's father suddenly lost his job.,失業[しつぎょう],友達[ともだち]のお 父[とう]さんが 突然[とつぜん]<b> 失業[しつぎょう]</b>したの。,友達[ともだち]のお 父[とう]さんが 突然[とつぜん]<b>（　）</b>したの。
4893,煙突,えんとつ,"chimney, smokestack",工場の<b>煙突</b>から煙が上がっている。,こうじょう の <b>えんとつ</b> から けむり が あがって いる,Smoke is rising from the factory's smokestack.,煙突[えんとつ],工場[こうじょう]の<b> 煙突[えんとつ]</b>から 煙[けむり]が 上[あ]がっている。,工場[こうじょう]の<b>（　）</b>から 煙[けむり]が 上[あ]がっている。
4894,十字路,じゅうじろ,crossroads,<b>十字路</b>で車とバイクが衝突したぞ。,<b>じゅうじろ</b> で くるま と ばいく が しょうとつ した ぞ,The car collided with a motorcycle in the crossroads.,十字路[じゅうじろ],<b> 十字路[じゅうじろ]</b>で 車[くるま]とバイクが 衝突[しょうとつ]したぞ。,<b>（　）</b>で 車[くるま]とバイクが 衝突[しょうとつ]したぞ。
4895,海上,かいじょう,maritime,<b>海上</b>で衝突事故が発生した。,<b>かいじょう</b> で しょうとつ じこ が はっせい した,There was a collision at sea.,海上[かいじょう],<b> 海上[かいじょう]</b>で 衝突事故[しょうとつ じこ]が 発生[はっせい]した。,<b>（　）</b>で 衝突事故[しょうとつ じこ]が 発生[はっせい]した。
4896,言い出す,いいだす,begin to speak,突然何を<b>言い出す</b>のかと思った。,とつぜん なに を <b>いいだす</b> の か と おもった,I wondered what you would say out of the blue.,言[い]い 出[だ]す,突然何[とつぜん なに]を<b> 言[い]い 出[だ]す</b>のかと 思[おも]った。,突然何[とつぜん なに]を<b>（　）</b>のかと 思[おも]った。
4897,煙,けむり,"smoke, fumes",煙突から<b>煙</b>がまっすぐ上っていたの。,えんとつ から <b>けむり</b> が まっすぐ あがって いた の,Smoke was rising straight up from the chimney.,煙[けむり],煙突[えんとつ]から<b> 煙[けむり]</b>がまっすぐ 上[あが]っていたの。,煙突[えんとつ]から<b>（　）</b>がまっすぐ 上[あが]っていたの。
4898,突然,とつぜん,"abruptly, suddenly",彼は<b>突然</b>走り出したのよ。,かれ は <b>とつぜん</b> はしりだした の よ,He suddenly began to run.,突然[とつぜん],彼[かれ]は<b> 突然[とつぜん]</b> 走[はし]り 出[だ]したのよ。,彼[かれ]は<b>（　）</b> 走[はし]り 出[だ]したのよ。
4899,突く,つく,"thrust, poke",彼はビリヤードの球を上手に<b>突く</b>ね。,かれ は びりやーど の たま を じょうず に <b>つく</b> ね,He shoots pool very well.,突[つ]く,彼[かれ]はビリヤードの 球[たま]を 上手[じょうず]に<b> 突[つ]く</b>ね。,彼[かれ]はビリヤードの 球[たま]を 上手[じょうず]に<b>（　）</b>ね。
4900,発熱,はつねつ,"generation of heat, get a fever",娘が突然、<b>発熱</b>したんだ。,むすめ が とつぜん <b>はつねつ</b> した ん だ,My daughter suddenly developed a fever.,発熱[はつねつ],娘[むすめ]が 突然[とつぜん]、<b> 発熱[はつねつ]</b>したんだ。,娘[むすめ]が 突然[とつぜん]、<b>（　）</b>したんだ。
4901,追突,ついとつ,collision,バスが乗用車に<b>追突</b>したよ。,ばす が じょうようしゃ に <b>ついとつ</b> した よ,The bus bumped the passenger car from behind.,追突[ついとつ],バスが 乗用車[じょうようしゃ]に<b> 追突[ついとつ]</b>したよ。,バスが 乗用車[じょうようしゃ]に<b>（　）</b>したよ。
4902,どきっと,どきっと,"surprised, shocked",突然の質問に<b>どきっと</b>したよ。,とつぜん の しつもん に <b>どきっと</b> した よ,I was taken aback by the sudden question.,どきっと,突然[とつぜん]の 質問[しつもん]に<b>どきっと</b>したよ。,突然[とつぜん]の 質問[しつもん]に<b>（　）</b>したよ。
4903,停止,ていし,"stop, suspension",突然、機械が<b>停止</b>してしまったの。,とつぜん きかい が <b>ていし</b> して しまった の,The machine stopped suddenly.,停止[ていし],突然[とつぜん]、 機械[きかい]が<b> 停止[ていし]</b>してしまったの。,突然[とつぜん]、 機械[きかい]が<b>（　）</b>してしまったの。
4904,滑らか,なめらか,"smooth, glassy",この生地は<b>滑らか</b>な手触りが特長です。,この きじ は <b>なめらか</b> な てざわり が とくちょう です,This cloth's main feature is its smooth texture.,滑[なめ]らか,この 生地[きじ]は<b> 滑[なめ]らか</b>な 手触[てざわ]りが 特長[とくちょう]です。,この 生地[きじ]は<b>（　）</b>な 手触[てざわ]りが 特長[とくちょう]です。
4905,触れる,ふれる,"touch, come in contact with",手と手が<b>触れて</b>どきどきしたよ。,て と て が <b>ふれて</b> どきどき した よ,My heart pounded as our hands touched.,触[ふ]れる,手[て]と 手[て]が<b> 触[ふ]れて</b>どきどきしたよ。,手[て]と 手[て]が<b>（　）</b>どきどきしたよ。
4906,寝室,しんしつ,bedroom,<b>寝室</b>の壁紙を張り替えました。,<b>しんしつ</b> の かべがみ を はりかえました,I repapered the bedroom walls.,寝室[しんしつ],<b> 寝室[しんしつ]</b>の 壁紙[かべがみ]を 張[は]り 替[か]えました。,<b>（　）</b>の 壁紙[かべがみ]を 張[は]り 替[か]えました。
4907,くっ付ける,くっつける,"join, paste",彼は壁に耳を<b>くっ付けて</b>隣の話を聞いていたの。,かれ は かべ に みみ を <b>くっつけて</b> となり の はなし を きいて いた の,He pressed his ear to the wall and listened to what the people next door were saying.,くっ 付[つ]ける,彼[かれ]は 壁[かべ]に 耳[みみ]を<b>くっ 付[つ]けて</b> 隣[となり]の 話[はなし]を 聞[き]いていたの。,彼[かれ]は 壁[かべ]に 耳[みみ]を<b>（　）</b> 隣[となり]の 話[はなし]を 聞[き]いていたの。
4908,ぶつける,ぶつける,bump,車を壁に<b>ぶつけてしまいました</b>。,くるま を かべ に <b>ぶつけて しまいました</b>,The car hit the wall.,ぶつける,車[くるま]を 壁[かべ]に<b>ぶつけてしまいました</b>。,車[くるま]を 壁[かべ]に<b>（　）</b>。
4909,はげる,はげる,"come off, peel off",壁のペンキが<b>はげて</b>きたな。,かべ の ぺんき が <b>はげて</b> きた な,The paint on the wall is peeling off.,はげる,壁[かべ]のペンキが<b>はげて</b>きたな。,壁[かべ]のペンキが<b>（　）</b>きたな。
4910,避ける,さける,"avoid, evade",彼女は昨日から私のことを<b>避けている</b>ようなんだ。,かのじょ は きのう から わたし の こと を <b>さけて いる</b> よう なん だ,She seems to have been avoiding me since yesterday.,避[さ]ける,彼女[かのじょ]は 昨日[きのう]から 私[わたし]のことを<b> 避[さ]けている</b>ようなんだ。,彼女[かのじょ]は 昨日[きのう]から 私[わたし]のことを<b>（　）</b>ようなんだ。
4911,訓練,くんれん,"training, drill",学校で避難<b>訓練</b>がありました。,がっこう で ひなん <b>くんれん</b> が ありました,There was a fire drill at the school.,訓練[くんれん],学校[がっこう]で 避難[ひなん]<b> 訓練[くんれん]</b>がありました。,学校[がっこう]で 避難[ひなん]<b>（　）</b>がありました。
4912,最悪,さいあく,the worst,何とか<b>最悪</b>の事態を避けることができました。,なんとか <b>さいあく</b> の じたい を さける こと が できました,Somehow we managed to avert the worst-case scenario.,最悪[さいあく],何[なん]とか<b> 最悪[さいあく]</b>の 事態[じたい]を 避[さ]けることができました。,何[なん]とか<b>（　）</b>の 事態[じたい]を 避[さ]けることができました。
4913,避難,ひなん,"refuge, shelter",危ないので<b>避難</b>してください。,あぶない の で <b>ひなん</b> して ください,"It's dangerous here, so please evacuate!",避難[ひなん],危[あぶ]ないので<b> 避難[ひなん]</b>してください。,危[あぶ]ないので<b>（　）</b>してください。
4914,基地,きち,"base, military base",ここは昔、軍事<b>基地</b>でした。,ここ は むかし ぐんじ <b>きち</b> でした,This used to be a military base.,基地[きち],ここは 昔[むかし]、 軍事[ぐんじ]<b> 基地[きち]</b>でした。,ここは 昔[むかし]、 軍事[ぐんじ]<b>（　）</b>でした。
4915,軍事,ぐんじ,military affairs,彼は<b>軍事</b>に関わる仕事を続けてきたんだ。,かれ は <b>ぐんじ</b> に かかわる しごと を つづけて きた ん だ,He kept working in a job related to military affairs.,軍事[ぐんじ],彼[かれ]は<b> 軍事[ぐんじ]</b>に 関[かか]わる 仕事[しごと]を 続[つづ]けてきたんだ。,彼[かれ]は<b>（　）</b>に 関[かか]わる 仕事[しごと]を 続[つづ]けてきたんだ。
4916,自衛隊,じえいたい,Self Defense Forces,<b>自衛隊</b>がイラクに派遣されたわ。,<b>じえいたい</b> が いらく に はけん された わ,The Self Defense Forces were sent to Iraq.,自衛隊[じえいたい],<b> 自衛隊[じえいたい]</b>がイラクに 派遣[はけん]されたわ。,<b>（　）</b>がイラクに 派遣[はけん]されたわ。
4917,軍隊,ぐんたい,"army, troops",彼は<b>軍隊</b>に入ったよ。,かれ は <b>ぐんたい</b> に はいった よ,He entered the military.,軍隊[ぐんたい],彼[かれ]は<b> 軍隊[ぐんたい]</b>に 入[はい]ったよ。,彼[かれ]は<b>（　）</b>に 入[はい]ったよ。
4918,墜落,ついらく,"fall, crash",飛行機の<b>墜落</b>事故があったんだ。,ひこうき の <b>ついらく</b> じこ が あった ん だ,There was an airplane crash.,墜落[ついらく],飛行機[ひこうき]の<b> 墜落[ついらく]</b> 事故[じこ]があったんだ。,飛行機[ひこうき]の<b>（　）</b> 事故[じこ]があったんだ。
4919,旅客機,りょかくき,passenger plane,<b>旅客機</b>が墜落したよ。,<b>りょかくき</b> が ついらく した よ,The passenger jet crashed.,旅客機[りょかくき],<b> 旅客機[りょかくき]</b>が 墜落[ついらく]したよ。,<b>（　）</b>が 墜落[ついらく]したよ。
4920,兵器,へいき,"arms, weapon",あの国は強力な<b>兵器</b>を持っている。,あの くに は きょうりょく な <b>へいき</b> を もって いる,That country has strong weapons.,兵器[へいき],あの 国[くに]は 強力[きょうりょく]な<b> 兵器[へいき]</b>を 持[も]っている。,あの 国[くに]は 強力[きょうりょく]な<b>（　）</b>を 持[も]っている。
4921,結核,けっかく,tuberculosis,昔は<b>結核</b>でたくさんの人が亡くなった。,むかし は <b>けっかく</b> で たくさん の ひと が なくなった,"In the past, a lot of people died of tuberculosis.",結核[けっかく],昔[むかし]は<b> 結核[けっかく]</b>でたくさんの 人[ひと]が 亡[な]くなった。,昔[むかし]は<b>（　）</b>でたくさんの 人[ひと]が 亡[な]くなった。
4922,武器,ぶき,"weapon, arms",彼らは<b>武器</b>を取り、立ち上がった。,かれら は <b>ぶき</b> を とり たちあがった,"They took arms, and stood up.",武器[ぶき],彼[かれ]らは<b> 武器[ぶき]</b>を 取[と]り、 立[た]ち 上[あ]がった。,彼[かれ]らは<b>（　）</b>を 取[と]り、 立[た]ち 上[あ]がった。
4923,兵隊,へいたい,"soldier, troops",<b>兵隊</b>が銃をかまえていたよ。,<b>へいたい</b> が じゅう を かまえて いた よ,The soldier was holding the gun at the ready.,兵隊[へいたい],<b> 兵隊[へいたい]</b>が 銃[じゅう]をかまえていたよ。,<b>（　）</b>が 銃[じゅう]をかまえていたよ。
4924,弾,たま,"bullet, shot",彼はピストルに<b>弾</b>を込めたんだ。,かれ は ぴすとる に <b>たま</b> を こめた ん だ,He loaded the pistol.,弾[たま],彼[かれ]はピストルに<b> 弾[たま]</b>を 込[こ]めたんだ。,彼[かれ]はピストルに<b>（　）</b>を 込[こ]めたんだ。
4925,弾む,はずむ,"spring back, bounce",このボールはよく<b>弾みます</b>ね。,この ぼーる は よく <b>はずみます</b> ね,This ball bounces well.,弾[はず]む,このボールはよく<b> 弾[はず]みます</b>ね。,このボールはよく<b>（　）</b>ね。
4926,試し,ためし,"trial, test",<b>試し</b>にこの曲を弾いてみてください。,<b>ためし</b> に この きょく を ひいて みて ください,"Try playing this tune, by way of experiment.",試[ため]し,<b> 試[ため]し</b>にこの 曲[きょく]を 弾[ひ]いてみてください。,<b>（　）</b>にこの 曲[きょく]を 弾[ひ]いてみてください。
4927,シャッター,シャッター,shutter,丸いボタンを押すと<b>シャッター</b>が閉まります。,まるい ぼたん を おすと <b>しゃったー</b> が しまります,The shutter closes when you push the round button.,シャッター,丸[まる]いボタンを 押[お]すと<b>シャッター</b>が 閉[し]まります。,丸[まる]いボタンを 押[お]すと<b>（　）</b>が 閉[し]まります。
4928,くしゃくしゃ,くしゃくしゃ,"messy, scrunch",紙を<b>くしゃくしゃ</b>に丸めました。,かみ を <b>くしゃくしゃ</b> に まるめました,I rolled the paper into a ball.,くしゃくしゃ,紙[かみ]を<b>くしゃくしゃ</b>に 丸[まる]めました。,紙[かみ]を<b>（　）</b>に 丸[まる]めました。
4929,真ん丸,まんまる,perfect circle,今日は月が<b>真ん丸</b>です。,きょう は つき が <b>まんまる</b> です,The moon is perfectly round today.,真[ま]ん 丸[まる],今日[きょう]は 月[つき]が<b> 真[ま]ん 丸[まる]</b>です。,今日[きょう]は 月[つき]が<b>（　）</b>です。
4930,専攻,せんこう,"major, specialization",大学では物理を<b>専攻</b>していました。,だいがく で は ぶつり を <b>せんこう</b> して いました,I majored in physics at university.,専攻[せんこう],大学[だいがく]では 物理[ぶつり]を<b> 専攻[せんこう]</b>していました。,大学[だいがく]では 物理[ぶつり]を<b>（　）</b>していました。
4931,攻める,せめる,"attack, take the offensive",彼は積極的に<b>攻めた</b>が勝てなかったな。,かれ は せっきょくてき に <b>せめた</b> が かてなかった な,He didn't win although he put up a good attack.,攻[せ]める,彼[かれ]は 積極的[せっきょくてき]に<b> 攻[せ]めた</b>が 勝[か]てなかったな。,彼[かれ]は 積極的[せっきょくてき]に<b>（　）</b>が 勝[か]てなかったな。
4932,ジャーナリズム,ジャーナリズム,journalism,彼は<b>ジャーナリズム</b>を専攻している。,かれ は <b>じゃーなりずむ</b> を せんこう して いる,He majors in journalism.,ジャーナリズム,彼[かれ]は<b>ジャーナリズム</b>を 専攻[せんこう]している。,彼[かれ]は<b>（　）</b>を 専攻[せんこう]している。
4933,人文科学,じんぶんかがく,humanities,大学で<b>人文科学</b>を専攻しました。,だいがく で <b>じんぶんかがく</b> を せんこう しました,I majored in humanities when I was in college.,人文科学[じんぶんかがく],大学[だいがく]で<b> 人文科学[じんぶんかがく]</b>を 専攻[せんこう]しました。,大学[だいがく]で<b>（　）</b>を 専攻[せんこう]しました。
4934,美術,びじゅつ,"art, fine arts",弟は<b>美術</b>を専攻しています。,おとうと は <b>びじゅつ</b> を せんこう して います,My little brother majors in fine art.,美術[びじゅつ],弟[おとうと]は<b> 美術[びじゅつ]</b>を 専攻[せんこう]しています。,弟[おとうと]は<b>（　）</b>を 専攻[せんこう]しています。
4935,物理,ぶつり,"physics, natural law",彼は<b>物理</b>を専攻している。,かれ は <b>ぶつり</b> を せんこう して いる,He majors in physics.,物理[ぶつり],彼[かれ]は<b> 物理[ぶつり]</b>を 専攻[せんこう]している。,彼[かれ]は<b>（　）</b>を 専攻[せんこう]している。
4936,怒り,いかり,"anger, rage",彼ったら<b>怒り</b>爆発だったよ。,かれ ったら <b>いかり</b> ばくはつ だった よ,He blew his stack.,怒[いか]り,彼[かれ]ったら<b> 怒[いか]り</b> 爆発[ばくはつ]だったよ。,彼[かれ]ったら<b>（　）</b> 爆発[ばくはつ]だったよ。
4937,管,かん,"pipe, tube",ガス<b>管</b>が爆発しました。,がす<b>かん</b> が ばくはつ しました,The gas pipe exploded.,管[かん],ガス<b> 管[かん]</b>が 爆発[ばくはつ]しました。,ガス<b>（　）</b>が 爆発[ばくはつ]しました。
4938,兵士,へいし,soldier,その爆撃で<b>兵士</b>が3人負傷しました。,その ばくげき で <b>へいし</b> が さんにん ふしょう しました,Three soldiers were injured in the bombing.,兵士[へいし],その 爆撃[ばくげき]で<b> 兵士[へいし]</b>が 3人負傷[さんにん ふしょう]しました。,その 爆撃[ばくげき]で<b>（　）</b>が 3人負傷[さんにん ふしょう]しました。
4939,爆発,ばくはつ,"explosion, eruption",ダイナマイトが<b>爆発</b>したんだ。,だいなまいと が <b>ばくはつ</b> した ん だ,The dynamite exploded.,爆発[ばくはつ],ダイナマイトが<b> 爆発[ばくはつ]</b>したんだ。,ダイナマイトが<b>（　）</b>したんだ。
4940,爆弾,ばくだん,bomb,その町に<b>爆弾</b>が落とされたの。,その まち に <b>ばくだん</b> が おとされた の,Bombs were dropped on that town.,爆弾[ばくだん],その 町[まち]に<b> 爆弾[ばくだん]</b>が 落[お]とされたの。,その 町[まち]に<b>（　）</b>が 落[お]とされたの。
4941,起こす,おこす,"bring about, cause",彼は暴力事件を<b>起こした</b>んだよ。,かれ は ぼうりょく じけん を <b>おこした</b> ん だ よ,He caused a violent incident.,起[お]こす,彼[かれ]は 暴力事件[ぼうりょく じけん]を<b> 起[お]こした</b>んだよ。,彼[かれ]は 暴力事件[ぼうりょく じけん]を<b>（　）</b>んだよ。
4942,暴れる,あばれる,"act violently, rage about",彼は悪酔いして<b>暴れた</b>んだ。,かれ は わるよい して <b>あばれた</b> ん だ,He was so drunk that he became violent.,暴[あば]れる,彼[かれ]は 悪酔[わるよ]いして<b> 暴[あば]れた</b>んだ。,彼[かれ]は 悪酔[わるよ]いして<b>（　）</b>んだ。
4943,暴落,ぼうらく,"slump, crash",昨日株価が<b>暴落</b>しました。,きのう かぶか が <b>ぼうらく</b> しました,Stock prices dropped sharply yesterday.,暴落[ぼうらく],昨日株価[きのう かぶか]が<b> 暴落[ぼうらく]</b>しました。,昨日株価[きのう かぶか]が<b>（　）</b>しました。
4944,説く,とく,"explain, preach",彼は非暴力を<b>説きました</b>。,かれ は ひぼうりょく を <b>ときました</b>,He preached nonviolence.,説[と]く,彼[かれ]は 非暴力[ひぼうりょく]を<b> 説[と]きました</b>。,彼[かれ]は 非暴力[ひぼうりょく]を<b>（　）</b>。
4945,暴力,ぼうりょく,"violence, force",<b>暴力</b>はいけません。,<b>ぼうりょく</b> は いけません,Violence is wrong.,暴力[ぼうりょく],<b> 暴力[ぼうりょく]</b>はいけません。,<b>（　）</b>はいけません。
4946,乱暴,らんぼう,violence,人に<b>乱暴</b>してはいけません。,ひと に <b>らんぼう</b> して は いけません,You must not use violence on people.,乱暴[らんぼう],人[ひと]に<b> 乱暴[らんぼう]</b>してはいけません。,人[ひと]に<b>（　）</b>してはいけません。
4947,悲しみ,かなしみ,"grief, sadness",突然の<b>悲しみ</b>が一家を襲いました。,とつぜん の <b>かなしみ</b> が いっか を おそいました,Sudden grief fell upon the whole family.,悲[かな]しみ,突然[とつぜん]の<b> 悲[かな]しみ</b>が 一家[いっか]を 襲[おそ]いました。,突然[とつぜん]の<b>（　）</b>が 一家[いっか]を 襲[おそ]いました。
4948,改良,かいりょう,"improvement, reform",日本では絶えず米の品種を<b>改良</b>しているの。,にほん で は たえず こめ の ひんしゅ を <b>かいりょう</b> して いる の,Varieties of rice are always being improved in Japan.,改良[かいりょう],日本[にほん]では 絶[た]えず 米[こめ]の 品種[ひんしゅ]を<b> 改良[かいりょう]</b>しているの。,日本[にほん]では 絶[た]えず 米[こめ]の 品種[ひんしゅ]を<b>（　）</b>しているの。
4949,争い,あらそい,"conflict, battle",その地域では<b>争い</b>が絶えません。,その ちいき で は <b>あらそい</b> が たえません,There are ceaseless conflicts in that region.,争[あらそ]い,その 地域[ちいき]では<b> 争[あらそ]い</b>が 絶[た]えません。,その 地域[ちいき]では<b>（　）</b>が 絶[た]えません。
